epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,105.207,1.72986,1.98311,2.11183,0.01929,0.61006,0.01684,0.00489,2.57155,inf,3.70068,0.000552491,0.000552491,0.000552491
2,205.746,1.85467,2.121,2.21694,0.05449,0.47799,0.04926,0.01605,2.06845,8.52368,2.7168,0.00110813,0.00110813,0.00110813
3,306.504,1.74342,1.93085,2.11737,0.3216,0.37736,0.2093,0.05142,2.66196,4.18121,3.50442,0.00166364,0.00166364,0.00166364
4,407.343,1.68755,1.83211,2.06024,0.51197,0.57233,0.53645,0.19707,2.27444,2.72911,2.69747,0.00166659,0.00166659,0.00166659
5,508.115,1.58872,1.72998,1.99239,0.7121,0.58176,0.6337,0.22054,2.16114,1.73821,2.50006,0.00166628,0.00166628,0.00166628
6,608.751,1.54114,1.64259,1.92623,0.77839,0.56918,0.64616,0.23099,2.12885,1.73566,2.50434,0.00166587,0.00166587,0.00166587
7,709.412,1.50358,1.61141,1.89098,0.63769,0.59119,0.63392,0.19452,2.50062,1.6364,2.7963,0.00166537,0.00166537,0.00166537
8,809.913,1.46328,1.55947,1.87813,0.78984,0.57233,0.68353,0.25941,2.13936,1.68452,2.52251,0.00166478,0.00166478,0.00166478
9,910.632,1.46478,1.55349,1.8605,0.71568,0.62893,0.69334,0.25884,2.17803,1.68467,2.53903,0.00166411,0.00166411,0.00166411
10,1011.22,1.45222,1.51385,1.85417,0.79374,0.68239,0.75417,0.23525,2.41658,1.51046,2.79948,0.00166334,0.00166334,0.00166334
11,1111.83,1.42578,1.46757,1.82477,0.75244,0.71686,0.76228,0.33611,2.15202,1.3586,2.42325,0.00166248,0.00166248,0.00166248
12,1212.53,1.41619,1.49344,1.82389,0.71911,0.68432,0.73837,0.27617,2.18732,1.53815,2.55352,0.00166153,0.00166153,0.00166153
13,1313.14,1.39225,1.42906,1.79707,0.76552,0.65409,0.7041,0.23186,2.36004,1.70056,2.7686,0.00166049,0.00166049,0.00166049
