epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,64.9031,1.65711,1.83638,2.02629,0.01417,0.40881,0.01035,0.003,2.67643,39.9326,3.17974,0.000552491,0.000552491,0.000552491
2,124.468,1.69509,1.74252,2.05294,0.01255,0.62579,0.00978,0.00349,2.17439,inf,2.61802,0.00110813,0.00110813,0.00110813
3,184.027,1.65829,1.73818,2.03614,0.44496,0.42138,0.40247,0.1459,2.22145,2.91401,2.65178,0.00166364,0.00166364,0.00166364
4,243.521,1.61032,1.71264,1.97888,0.70951,0.58176,0.63691,0.24751,2.17676,1.61869,2.48814,0.00166659,0.00166659,0.00166659
5,303,1.54522,1.62171,1.92531,0.68787,0.57547,0.61427,0.18328,2.44702,1.77099,2.67484,0.00166628,0.00166628,0.00166628
6,362.386,1.51831,1.53275,1.88902,0.76577,0.67925,0.72845,0.32591,1.863,1.48045,2.2613,0.00166587,0.00166587,0.00166587
7,421.909,1.44822,1.47773,1.83137,0.79523,0.74214,0.77617,0.2807,2.23657,1.26711,2.42836,0.00166537,0.00166537,0.00166537
8,481.272,1.42259,1.43757,1.81348,0.80232,0.64151,0.73097,0.28289,2.18862,1.45678,2.52402,0.00166478,0.00166478,0.00166478
9,540.681,1.4175,1.43566,1.80527,0.79302,0.68868,0.74254,0.31308,2.0658,1.32047,2.3236,0.00166411,0.00166411,0.00166411
10,600.127,1.40659,1.39233,1.78622,0.74221,0.60662,0.63703,0.16287,2.59964,1.5711,2.96868,0.00166334,0.00166334,0.00166334
11,659.53,1.38274,1.36015,1.76598,0.81641,0.74214,0.77308,0.33895,2.00649,1.17959,2.25306,0.00166248,0.00166248,0.00166248
12,719.162,1.38473,1.37571,1.77162,0.79677,0.70126,0.77438,0.33533,2.04156,1.23625,2.36397,0.00166153,0.00166153,0.00166153
13,778.552,1.34656,1.33223,1.7372,0.87479,0.74698,0.8076,0.31759,2.06265,1.3495,2.27545,0.00166049,0.00166049,0.00166049
14,837.86,1.32671,1.3147,1.73545,0.7778,0.74214,0.75829,0.33619,1.97371,1.1905,2.18911,0.00165937,0.00165937,0.00165937
15,897.323,1.33081,1.28441,1.73123,0.83718,0.73585,0.77803,0.40977,1.73251,1.13601,2.01996,0.00165815,0.00165815,0.00165815
16,956.749,1.30976,1.26373,1.70545,0.82044,0.76152,0.81792,0.40329,1.77726,1.09093,2.03346,0.00165684,0.00165684,0.00165684
17,1016.11,1.27906,1.24012,1.67957,0.86604,0.77256,0.83768,0.38976,1.85438,1.00837,2.13303,0.00165544,0.00165544,0.00165544
18,1075.47,1.28618,1.23024,1.69451,0.90239,0.75591,0.85661,0.35496,2.00691,1.04691,2.21576,0.00165396,0.00165396,0.00165396
19,1135.02,1.2788,1.20036,1.66729,0.80644,0.74682,0.79429,0.41941,1.76082,1.06715,2.00442,0.00165238,0.00165238,0.00165238
20,1194.71,1.26016,1.21502,1.66398,0.84911,0.79633,0.86012,0.39206,1.90973,1.08451,2.21093,0.00165072,0.00165072,0.00165072
21,1254.11,1.27055,1.19118,1.66507,0.86548,0.78904,0.83949,0.37679,1.94132,1.04646,2.21809,0.00164897,0.00164897,0.00164897
22,1313.58,1.24044,1.16455,1.64183,0.89975,0.73384,0.84567,0.44969,1.65326,1.01687,1.87454,0.00164713,0.00164713,0.00164713
23,1373.18,1.25914,1.1691,1.66233,0.88271,0.7956,0.86482,0.37792,1.99187,0.98198,2.20127,0.0016452,0.0016452,0.0016452
24,1432.55,1.23729,1.11505,1.633,0.84908,0.81447,0.86617,0.42019,1.82576,0.94651,2.06677,0.00164318,0.00164318,0.00164318
25,1491.91,1.24824,1.14951,1.6492,0.90878,0.80189,0.8772,0.49124,1.56335,0.94369,1.78874,0.00164108,0.00164108,0.00164108
26,1551.37,1.2057,1.11435,1.60798,0.92146,0.83648,0.88039,0.51354,1.43294,0.83835,1.72999,0.00163888,0.00163888,0.00163888
27,1610.82,1.20198,1.11004,1.62498,0.8862,0.82075,0.86741,0.44757,1.71075,0.91216,2.01283,0.0016366,0.0016366,0.0016366
28,1670.23,1.19668,1.11641,1.62997,0.87257,0.79874,0.83705,0.40203,1.74987,0.96627,2.04111,0.00163424,0.00163424,0.00163424
29,1729.58,1.20848,1.10916,1.61172,0.88818,0.79927,0.8725,0.41681,1.74696,0.95435,2.00262,0.00163178,0.00163178,0.00163178
30,1789.12,1.19267,1.10677,1.60029,0.89627,0.8151,0.87963,0.55463,1.34429,0.87987,1.68858,0.00162924,0.00162924,0.00162924
31,1848.61,1.17776,1.07194,1.60437,0.90894,0.78469,0.88405,0.51541,1.46366,0.90352,1.70464,0.00162661,0.00162661,0.00162661
32,1907.94,1.1831,1.07506,1.5976,0.91096,0.77218,0.83908,0.48098,1.53564,0.97888,1.81597,0.0016239,0.0016239,0.0016239
33,1967.31,1.16635,1.05519,1.59607,0.86228,0.80728,0.87272,0.49674,1.41642,0.90596,1.74131,0.0016211,0.0016211,0.0016211
34,2026.65,1.16274,1.07129,1.58429,0.88279,0.80531,0.87874,0.51184,1.45833,0.87928,1.73981,0.00161822,0.00161822,0.00161822
35,2085.99,1.16922,1.03616,1.58278,0.8716,0.83962,0.89101,0.50821,1.5796,0.86793,1.83393,0.00161525,0.00161525,0.00161525
36,2145.48,1.13073,1.01647,1.56748,0.91419,0.79245,0.88427,0.54832,1.36983,0.82613,1.68265,0.00161219,0.00161219,0.00161219
37,2204.9,1.14293,1.04164,1.56722,0.90527,0.78931,0.84615,0.43387,1.72355,0.95113,2.01601,0.00160905,0.00160905,0.00160905
38,2264.29,1.14608,1.02503,1.57214,0.91942,0.79245,0.86604,0.54715,1.32457,0.83516,1.63898,0.00160583,0.00160583,0.00160583
39,2323.87,1.11593,1.00786,1.54809,0.90911,0.81447,0.89665,0.51186,1.51972,0.79244,1.75117,0.00160252,0.00160252,0.00160252
40,2383.3,1.15659,0.99994,1.57209,0.86933,0.81132,0.86089,0.53507,1.34258,0.79361,1.6485,0.00159913,0.00159913,0.00159913
41,2442.73,1.12387,0.97678,1.54111,0.89084,0.79555,0.88033,0.52777,1.37508,0.77069,1.66842,0.00159566,0.00159566,0.00159566
42,2502.17,1.11035,0.94094,1.53166,0.92442,0.76922,0.87369,0.55038,1.29674,0.79428,1.64155,0.0015921,0.0015921,0.0015921
43,2561.65,1.11024,0.9648,1.53832,0.90575,0.79874,0.89362,0.54982,1.3115,0.81746,1.63707,0.00158847,0.00158847,0.00158847
44,2621.01,1.11359,0.95846,1.53046,0.90122,0.80818,0.89337,0.58393,1.20981,0.78106,1.53392,0.00158475,0.00158475,0.00158475
45,2680.49,1.09606,0.9369,1.52963,0.92928,0.78512,0.87859,0.59357,1.11251,0.73987,1.50326,0.00158094,0.00158094,0.00158094
46,2740.11,1.10786,0.9448,1.5288,0.91565,0.80189,0.88604,0.54573,1.35793,0.81011,1.66256,0.00157706,0.00157706,0.00157706
47,2799.55,1.08253,0.91492,1.51079,0.88487,0.84594,0.90392,0.55688,1.32709,0.76535,1.63372,0.0015731,0.0015731,0.0015731
48,2859.03,1.09446,0.91729,1.51897,0.9209,0.7956,0.88338,0.61274,1.06545,0.73463,1.51569,0.00156906,0.00156906,0.00156906
49,2918.61,1.09295,0.90847,1.51835,0.87874,0.84318,0.89662,0.57278,1.28177,0.75175,1.61961,0.00156493,0.00156493,0.00156493
50,2978,1.08643,0.91491,1.50761,0.9106,0.80073,0.88504,0.61463,1.04814,0.73952,1.47598,0.00156073,0.00156073,0.00156073
51,3037.48,1.08338,0.89486,1.50269,0.92356,0.80503,0.88616,0.57804,1.1992,0.76152,1.55646,0.00155645,0.00155645,0.00155645
52,3097.02,1.08121,0.9077,1.50428,0.89243,0.80877,0.89886,0.56387,1.2544,0.74725,1.64019,0.00155209,0.00155209,0.00155209
53,3156.37,1.06107,0.87511,1.49305,0.9115,0.80818,0.90375,0.59387,1.24246,0.69801,1.55953,0.00154765,0.00154765,0.00154765
54,3215.69,1.07115,0.90757,1.5106,0.89448,0.8239,0.88332,0.61547,1.0269,0.67941,1.46913,0.00154314,0.00154314,0.00154314
55,3275.38,1.05396,0.88923,1.48155,0.92012,0.79686,0.90076,0.56177,1.31445,0.73255,1.64951,0.00153854,0.00153854,0.00153854
56,3334.78,1.04971,0.87568,1.47943,0.93059,0.82075,0.88019,0.57966,1.19701,0.7205,1.58715,0.00153388,0.00153388,0.00153388
57,3394.15,1.0754,0.86088,1.51121,0.91733,0.8026,0.86783,0.55515,1.26857,0.76655,1.60981,0.00152913,0.00152913,0.00152913
58,3453.48,1.04738,0.85081,1.47658,0.93681,0.78616,0.88057,0.58669,1.1491,0.71245,1.52537,0.00152431,0.00152431,0.00152431
59,3512.86,1.02683,0.84986,1.46364,0.91381,0.80021,0.88661,0.58058,1.21678,0.71601,1.59915,0.00151942,0.00151942,0.00151942
60,3572.47,1.06543,0.8616,1.49619,0.93793,0.80818,0.90523,0.5879,1.20981,0.69173,1.56244,0.00151445,0.00151445,0.00151445
61,3631.86,1.04055,0.87117,1.4713,0.94087,0.81132,0.90176,0.59425,1.14241,0.67622,1.52062,0.00150941,0.00150941,0.00150941
62,3691.38,1.02115,0.8513,1.47062,0.94695,0.78588,0.89926,0.59388,1.19218,0.69128,1.57107,0.00150429,0.00150429,0.00150429
63,3750.78,1.02736,0.83693,1.45733,0.93987,0.81132,0.90127,0.6045,1.12439,0.69442,1.4732,0.0014991,0.0014991,0.0014991
64,3810.35,1.04081,0.83462,1.46276,0.84564,0.82704,0.87213,0.6027,1.09465,0.74915,1.47844,0.00149384,0.00149384,0.00149384
65,3869.74,1.03153,0.83338,1.46814,0.93157,0.81341,0.89801,0.62841,1.05313,0.7134,1.45504,0.00148851,0.00148851,0.00148851
66,3929.2,0.99895,0.81184,1.43874,0.87065,0.83019,0.87618,0.61696,1.04836,0.69655,1.45283,0.00148311,0.00148311,0.00148311
67,3988.48,1.0559,0.85331,1.48742,0.90107,0.81447,0.88262,0.59553,1.17961,0.67817,1.55398,0.00147764,0.00147764,0.00147764
68,4047.81,1.0163,0.82584,1.45608,0.92775,0.82075,0.89366,0.60433,1.08532,0.67343,1.49784,0.00147209,0.00147209,0.00147209
69,4107.11,1.00106,0.81132,1.43229,0.87409,0.83019,0.87883,0.63993,1.01443,0.69295,1.41305,0.00146648,0.00146648,0.00146648
70,4166.62,1.01699,0.82881,1.4481,0.88276,0.85244,0.90655,0.62525,1.07936,0.63711,1.47634,0.0014608,0.0014608,0.0014608
71,4226.13,0.99856,0.81044,1.42816,0.94422,0.79849,0.91223,0.61757,1.12123,0.67473,1.49182,0.00145505,0.00145505,0.00145505
72,4285.52,1.00713,0.80473,1.45436,0.94149,0.77673,0.90503,0.58041,1.26501,0.72658,1.58036,0.00144924,0.00144924,0.00144924
73,4344.87,0.98434,0.78542,1.42621,0.91074,0.81447,0.88502,0.63633,0.99726,0.68639,1.44594,0.00144335,0.00144335,0.00144335
74,4404.22,0.99171,0.79598,1.43239,0.91839,0.81393,0.9134,0.64215,1.05178,0.67268,1.45042,0.00143741,0.00143741,0.00143741
75,4463.86,0.99067,0.79444,1.43427,0.89283,0.83837,0.90388,0.62908,1.05354,0.66439,1.44307,0.00143139,0.00143139,0.00143139
76,4523.22,0.98412,0.77437,1.42364,0.94074,0.79867,0.89749,0.62128,1.11261,0.68606,1.45945,0.00142531,0.00142531,0.00142531
77,4582.73,0.9913,0.78257,1.42506,0.9168,0.79696,0.89599,0.62012,1.0444,0.65358,1.41587,0.00141917,0.00141917,0.00141917
